VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RateCodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,year,is_covid_rel
2,2011-04-25 16:55:00,2011-04-25 17:02:00,1.0,0.8,113,211,1.0,,credit_card,5.3,1.0,0.5,1.0,0.0,0.0,7.8,2011,False
2,2011-04-26 21:32:00,2011-04-26 21:43:00,2.0,2.27,48,234,1.0,,credit_card,8.5,0.5,0.5,1.0,0.0,0.0,10.5,2011,False
1,2011-04-22 01:56:17,2011-04-22 02:07:52,1.0,3.3,48,79,1.0,N,cash,10.5,0.5,0.5,0.0,0.0,0.0,11.5,2011,False
1,2011-05-04 13:35:13,2011-05-04 13:41:13,1.0,0.9,45,88,1.0,N,cash,5.3,0.0,0.5,0.0,0.0,0.0,5.8,2011,False
1,2011-05-05 15:26:14,2011-05-05 15:31:00,1.0,0.7,262,140,1.0,N,cash,4.5,0.0,0.5,0.0,0.0,0.0,5.0,2011,False
1,2011-05-23 08:51:48,2011-05-23 08:56:05,2.0,0.4,231,231,1.0,N,cash,4.1,0.0,0.5,0.0,0.0,0.0,4.6,2011,False
1,2011-05-06 00:54:22,2011-05-06 01:04:21,1.0,3.8,158,239,1.0,N,cash,10.5,0.5,0.5,0.0,0.0,0.0,11.5,2011,False
2,2011-05-13 20:00:00,2011-05-13 20:58:00,5.0,19.92,132,238,2.0,,cash,45.0,0.0,0.5,0.0,4.8,0.0,50.3,2011,False
1,2011-05-29 00:44:10,2011-05-29 00:54:44,4.0,3.4,263,186,1.0,N,cash,10.5,0.5,0.5,0.0,0.0,0.0,11.5,2011,False
2,2011-05-09 16:17:00,2011-05-09 16:27:00,5.0,0.93,100,170,1.0,,cash,6.5,1.0,0.5,0.0,0.0,0.0,8.0,2011,False
2,2011-05-08 11:32:00,2011-05-08 11:58:00,2.0,10.02,181,226,1.0,,credit_card,25.3,0.0,0.5,5.5,0.0,0.0,31.3,2011,False
1,2011-05-24 16:48:06,2011-05-24 17:02:24,1.0,1.2,163,164,1.0,N,credit_card,8.5,1.0,0.5,0.5,0.0,0.0,10.5,2011,False
2,2011-05-24 02:51:00,2011-05-24 03:10:00,1.0,4.66,158,255,1.0,,cash,14.9,0.5,0.5,0.0,0.0,0.0,15.9,2011,False
2,2011-06-17 09:32:00,2011-06-17 09:36:00,1.0,0.6,107,170,1.0,,cash,4.5,0.0,0.5,0.0,0.0,0.0,5.0,2011,False
2,2011-06-26 21:58:00,2011-06-26 22:09:00,2.0,2.35,170,141,1.0,,cash,8.5,0.5,0.5,0.0,0.0,0.0,9.5,2011,False
1,2011-06-11 21:14:20,2011-06-11 21:28:45,2.0,2.7,239,75,1.0,N,cash,10.1,0.5,0.5,0.0,0.0,0.0,11.1,2011,False
2,2011-06-16 02:08:00,2011-06-16 02:18:00,1.0,2.31,161,140,1.0,,credit_card,8.1,0.5,0.5,2.0,0.0,0.0,11.1,2011,False
2,2011-06-27 01:15:00,2011-06-27 01:16:00,1.0,0.0,138,138,5.0,,credit_card,37.0,0.0,0.0,5.0,0.0,0.0,42.0,2011,False
1,2011-06-22 21:56:18,2011-06-22 22:08:45,1.0,2.9,234,87,1.0,N,cash,9.3,0.5,0.5,0.0,0.0,0.0,10.3,2011,False
2,2011-06-21 07:00:00,2011-06-21 07:33:00,1.0,17.42,141,132,2.0,,credit_card,45.0,0.0,0.5,6.0,4.8,0.0,56.3,2011,False
